seq_no,inside_temp,Outside_temp,outside_RH,Radiation_intensity,Rail_Heating,AHU_Cooling,Fan_speed,inlet_vent_position
437,19.7,25.4,99,0,0,-3.75,264,0
438,19.6,25.6,99,0,0,-3.5,261.3,0
439,19.6,25.6,99,0,0,-3.5,255.8,0
440,19.7,25.5,99,0,0,0,426.3,0
441,20.1,25.5,99,0,0,0,412.5,0
442,20.5,25.4,99,0,0,0,396,0
443,20.8,25.1,99,0,0,0,382.3,0
444,21,25,99,0,0,0,382.3,0
445,21.1,25.2,99,0,0,0,376.8,1.7
446,21.2,24.9,99,0,0,0,374,0
447,21.3,24.7,99,0,0,0,374,0
448,21.4,24.6,100,0,0,0,374,0
449,21.6,24.9,100,0,0,0,371.3,0
450,21.6,24.5,100,0,0,0,371.3,0
451,21.7,24.3,100,0,0,0,371.3,0
452,21.8,24.3,100,0,0,0,371.3,0
453,21.9,24.3,100,0,0,0,371.3,0
454,22,24.5,100,0,0,0,365.8,0
455,22.1,24.7,100,0,0.25,0,365.8,0
456,22.2,24.5,100,0,0,0,365.8,0
457,22.2,24.5,100,0,0,0,363,0
458,22.3,24.5,100,0,0,0,363,0
459,22.3,24.4,100,0,0,0,363,0
460,22.3,24.3,100,0,1.25,0,360.3,0
461,22.4,24.1,100,0,10.5,0,363,0
462,22.7,24.1,100,0,8.75,0,363,0
463,23.1,24.4,100,0,5.75,0,368.5,0
464,23.4,24.4,100,0,5.5,0,374,0
465,23.6,24.5,100,0,4.5,0,374,0
466,23.7,24.4,100,0,3.25,0,385,0
467,23.8,24.1,100,0.1,2.5,0,385,0
468,24,24.4,100,1,2.25,0,404.5,0
469,24.2,24.3,100,2.6,1.5,0,453.8,0
470,24.4,24.5,100,6.2,0,0,484,60.2
471,24.7,24.6,100,17,0,0,517,62.3
472,25,24.7,100,37.1,0,0,550,72.2
473,25.4,24.9,100,62.3,0,0,572,85.1
474,25.8,25.1,100,88.4,0,0,605,86.9
475,26,25.3,100,106.9,0,0,638,97.6
476,26.1,25.4,99,115.2,0,0,660,97.6
477,26.2,25.9,98,125.5,0,0,693,98.4
478,26.2,26,97,131.7,0,0,720.8,99
479,26.9,26.7,94,179.3,0,0,748,99.9
480,27.5,27.2,90,226.7,0,0,770,99.9
481,26.9,27.5,89,208.3,0,0,769.8,99.9
482,27,27.4,89,197,0,0,770,99.9
483,26.8,27.9,88,184.6,0,0,770,99.9
484,27,28,86,183.7,0,0,770,99.9
485,28.1,28.6,86,263.7,0,0,769.8,99.9
486,28.6,29.4,82,331.6,0,0,770,99.9
487,28.8,28.6,85,367.1,0,0,769.5,99.9
488,28.9,28.5,86,372.1,0,0,770,99.9
489,29.1,28.8,86,380.2,0,0,770,99.9
490,29.4,28.7,87,394.6,0,0,770,99.9
491,29.3,28.7,87,407,0,-6.75,770,99.9
492,29.3,28.9,86,434.4,0,-7,770,99.9
493,29.6,29.1,84,495.3,0,-8.25,770,99.9
494,29.6,29.3,83,543.3,0,-8,769.8,99.9
495,30,29.7,82,591.4,0,-8,770,99.9
496,30.6,30.2,80,664.7,0,-8,770,99.9
497,29.8,29.8,81,678.2,0,-8,769.8,99.9
498,29.5,29.9,81,691.8,0,-8,770,99.9
499,29,29.6,84,629,0,-8,770,99.6
500,29.5,29.9,82,656.8,0,-8,770,99.9
501,30.1,30.6,81,717.2,0,-8.25,770,99.8
502,30.5,30.5,80,783.8,0,-8.75,769.8,99.9
503,30.1,30.2,81,759.5,0,-8.75,770,99.4
504,30.2,30.1,81,749,0,-8.75,769.8,92.1
505,30.4,30.4,81,753.4,0,-9,770.3,93.4
506,29.6,29.9,83,636.4,0,-9,770,82.6
507,31.2,30.4,82,779.9,0,-9,770.8,87.2
508,31.7,30.7,81,888.9,0,-9,770.3,96.2
509,31.7,30.6,80,940.5,0,-9,770,99.3
510,31.6,30.7,80,942.3,0,-9,770,97.6
511,31.7,30.5,82,945.2,0,-9,770,94.8
512,31.7,31,80,935.2,0,-9,770,94.6
513,32,30.9,80,953.2,0,-9,770,96.4
514,32,30.8,81,987.3,0,-9,770,99.3
515,32.1,30.8,80,984.1,0,-9,770,99.3
516,32.2,30.7,80,1005,0,-9,770,99.5
517,31.6,30.8,80,966.3,0,-9,770.3,98.6
518,32.2,31.1,79,993.6,0,-9,770.3,96.3
519,32.2,30.9,80,979.3,0,-9,770,97.7
520,31.9,31,82,930.9,0,-9,770.5,97.7
521,32.2,30.9,81,951.7,0,-9,769.8,97.4
522,31.9,30.6,81,931.2,0,-9,769.8,97.2
523,30.2,30,83,707.6,0,-9,770.3,76.7
524,30.6,30.2,83,593.5,0,-9,770,70.5
525,31.4,30.2,83,567.6,0,-9,770,91
526,32.2,30.6,83,611.3,0,-9,770,97.8
527,32.1,30.7,83,617.4,0,-9,770,97.8
